layer,audit_class,events,layer_label,audit_label,fraction_of_layer
moisture_4in,not associated within 48h,872,4 in,No rain <=48 h,0.2039289055191768
moisture_4in,rain-associated but interrupted,778,4 in,Interrupted,0.18194574368568756
moisture_4in,rain-associated clean 24-48h,525,4 in,Clean 24-48 h,0.12277829747427502
moisture_4in,rain-associated clean <=24h,2101,4 in,Clean <=24 h,0.4913470533208606
moisture_8in,not associated within 48h,209,8 in,No rain <=48 h,0.20611439842209073
moisture_8in,rain-associated but interrupted,355,8 in,Interrupted,0.35009861932938857
moisture_8in,rain-associated clean 24-48h,74,8 in,Clean 24-48 h,0.07297830374753451
moisture_8in,rain-associated clean <=24h,376,8 in,Clean <=24 h,0.3708086785009862
moisture_12in,rain-associated clean <=24h,269,12 in,Clean <=24 h,0.4310897435897436
moisture_12in,rain-associated clean 24-48h,80,12 in,Clean 24-48 h,0.1282051282051282
moisture_12in,rain-associated but interrupted,167,12 in,Interrupted,0.2676282051282051
moisture_12in,not associated within 48h,108,12 in,No rain <=48 h,0.17307692307692307
moisture_16in,not associated within 48h,154,16 in,No rain <=48 h,0.24290220820189273
moisture_16in,rain-associated but interrupted,105,16 in,Interrupted,0.16561514195583596
moisture_16in,rain-associated clean 24-48h,111,16 in,Clean 24-48 h,0.1750788643533123
moisture_16in,rain-associated clean <=24h,264,16 in,Clean <=24 h,0.416403785488959
moisture_20in,not associated within 48h,284,20 in,No rain <=48 h,0.4741235392320534
moisture_20in,rain-associated but interrupted,71,20 in,Interrupted,0.11853088480801335
moisture_20in,rain-associated clean 24-48h,77,20 in,Clean 24-48 h,0.1285475792988314
moisture_20in,rain-associated clean <=24h,167,20 in,Clean <=24 h,0.27879799666110183
