site_id,layer,clean_stageII_48h_events,layer_label,support_class
110,moisture_4in,42,4 in,strong
110,moisture_8in,7,8 in,insufficient
110,moisture_12in,4,12 in,insufficient
110,moisture_16in,1,16 in,insufficient
110,moisture_20in,0,20 in,none
120,moisture_4in,1,4 in,insufficient
120,moisture_8in,1,8 in,insufficient
120,moisture_12in,0,12 in,none
120,moisture_16in,0,16 in,none
120,moisture_20in,0,20 in,none
121,moisture_4in,13,4 in,eligible
121,moisture_8in,2,8 in,insufficient
121,moisture_12in,2,12 in,insufficient
121,moisture_16in,0,16 in,none
121,moisture_20in,0,20 in,none
125,moisture_4in,73,4 in,strong
125,moisture_8in,22,8 in,eligible
125,moisture_12in,22,12 in,eligible
125,moisture_16in,24,16 in,eligible
125,moisture_20in,31,20 in,strong
130,moisture_4in,41,4 in,strong
130,moisture_8in,1,8 in,insufficient
130,moisture_12in,1,12 in,insufficient
130,moisture_16in,0,16 in,none
130,moisture_20in,0,20 in,none
140,moisture_4in,67,4 in,strong
140,moisture_8in,9,8 in,eligible
140,moisture_12in,1,12 in,insufficient
140,moisture_16in,0,16 in,none
140,moisture_20in,0,20 in,none
150,moisture_4in,19,4 in,eligible
150,moisture_8in,1,8 in,insufficient
150,moisture_12in,0,12 in,none
150,moisture_16in,0,16 in,none
150,moisture_20in,0,20 in,none
160,moisture_4in,81,4 in,strong
160,moisture_8in,5,8 in,insufficient
160,moisture_12in,1,12 in,insufficient
160,moisture_16in,1,16 in,insufficient
160,moisture_20in,0,20 in,none
170,moisture_4in,97,4 in,strong
170,moisture_8in,1,8 in,insufficient
170,moisture_12in,0,12 in,none
170,moisture_16in,0,16 in,none
170,moisture_20in,0,20 in,none
190,moisture_4in,4,4 in,insufficient
190,moisture_8in,0,8 in,none
190,moisture_12in,0,12 in,none
190,moisture_16in,0,16 in,none
190,moisture_20in,0,20 in,none
230,moisture_4in,19,4 in,eligible
230,moisture_8in,0,8 in,none
230,moisture_12in,0,12 in,none
230,moisture_16in,0,16 in,none
230,moisture_20in,0,20 in,none
240,moisture_4in,3,4 in,insufficient
240,moisture_8in,0,8 in,none
240,moisture_12in,0,12 in,none
240,moisture_16in,0,16 in,none
240,moisture_20in,0,20 in,none
250,moisture_4in,5,4 in,insufficient
250,moisture_8in,1,8 in,insufficient
250,moisture_12in,0,12 in,none
250,moisture_16in,0,16 in,none
250,moisture_20in,0,20 in,none
260,moisture_4in,62,4 in,strong
260,moisture_8in,20,8 in,eligible
260,moisture_12in,2,12 in,insufficient
260,moisture_16in,0,16 in,none
260,moisture_20in,0,20 in,none
270,moisture_4in,70,4 in,strong
270,moisture_8in,10,8 in,eligible
270,moisture_12in,0,12 in,none
270,moisture_16in,0,16 in,none
270,moisture_20in,1,20 in,insufficient
275,moisture_4in,40,4 in,strong
275,moisture_8in,4,8 in,insufficient
275,moisture_12in,1,12 in,insufficient
275,moisture_16in,0,16 in,none
275,moisture_20in,0,20 in,none
280,moisture_4in,19,4 in,eligible
280,moisture_8in,0,8 in,none
280,moisture_12in,0,12 in,none
280,moisture_16in,0,16 in,none
280,moisture_20in,0,20 in,none
290,moisture_4in,10,4 in,eligible
290,moisture_8in,2,8 in,insufficient
290,moisture_12in,0,12 in,none
290,moisture_16in,0,16 in,none
290,moisture_20in,0,20 in,none
303,moisture_4in,59,4 in,strong
303,moisture_8in,18,8 in,eligible
303,moisture_12in,5,12 in,insufficient
303,moisture_16in,2,16 in,insufficient
303,moisture_20in,0,20 in,none
304,moisture_4in,1,4 in,insufficient
304,moisture_8in,0,8 in,none
304,moisture_12in,0,12 in,none
304,moisture_16in,0,16 in,none
304,moisture_20in,0,20 in,none
311,moisture_4in,75,4 in,strong
311,moisture_8in,3,8 in,insufficient
311,moisture_12in,0,12 in,none
