layer,regime_proxy,storage_bin,storage_norm,loss_mm_h_median,loss_mm_h_q25,loss_mm_h_q75,points,layer_label,regime_label
moisture_4in,stage-II-like,"(-0.001, 0.0667]",0.0293579142769595,0.0812800000000066,0.0447039999999958,0.1219200000000029,14872,4 in,Stage-II-like
moisture_4in,stage-II-like,"(0.0667, 0.133]",0.0986581841408077,0.162559999999992,0.1036319999999992,0.2032000000000025,9639,4 in,Stage-II-like
moisture_4in,stage-II-like,"(0.133, 0.2]",0.1660744290080337,0.1788160000000012,0.1219200000000029,0.2438400000000058,7928,4 in,Stage-II-like
moisture_4in,stage-II-like,"(0.2, 0.267]",0.2325472142881747,0.2032000000000025,0.1381759999999978,0.284480000000002,6933,4 in,Stage-II-like
moisture_4in,stage-II-like,"(0.267, 0.333]",0.2993197727550141,0.2438399999999987,0.1625599999999991,0.3251199999999983,6063,4 in,Stage-II-like
moisture_4in,stage-II-like,"(0.333, 0.4]",0.3660515819648028,0.268224,0.2031999999999953,0.349503999999996,5318,4 in,Stage-II-like
moisture_4in,stage-II-like,"(0.4, 0.467]",0.4327643998082209,0.284480000000002,0.2032000000000096,0.3657600000000087,4837,4 in,Stage-II-like
moisture_4in,stage-II-like,"(0.467, 0.533]",0.4997348595873813,0.3048000000000037,0.2438399999999916,0.4063999999999979,4351,4 in,Stage-II-like
moisture_4in,stage-II-like,"(0.533, 0.6]",0.5664422826694044,0.3251199999999912,0.2438399999999987,0.406400000000005,4094,4 in,Stage-II-like
moisture_4in,stage-II-like,"(0.6, 0.667]",0.633220041088945,0.3251199999999983,0.2438399999999987,0.406400000000005,3877,4 in,Stage-II-like
moisture_4in,stage-II-like,"(0.667, 0.733]",0.6999856176937501,0.284480000000002,0.2438399999999916,0.4063999999999979,3841,4 in,Stage-II-like
moisture_4in,stage-II-like,"(0.733, 0.8]",0.7668952826153841,0.284480000000002,0.2032000000000025,0.3657600000000052,3959,4 in,Stage-II-like
moisture_4in,stage-II-like,"(0.8, 0.867]",0.8339209023013844,0.2438399999999987,0.1869440000000004,0.3251200000000054,4130,4 in,Stage-II-like
moisture_4in,stage-II-like,"(0.867, 0.933]",0.9012353040992638,0.2031999999999953,0.1219200000000029,0.2844799999999949,4976,4 in,Stage-II-like
moisture_4in,stage-II-like,"(0.933, 1.0]",0.970853910114995,0.093472000000002,0.0406400000000104,0.1625599999999991,8259,4 in,Stage-II-like
moisture_4in,stage-I-like,"(-0.001, 0.0667]",0.0285027941874186,0.1219200000000029,0.0812799999999995,0.2031999999999953,1488,4 in,Stage-I-like
moisture_4in,stage-I-like,"(0.0667, 0.133]",0.098960683816519,0.2032000000000096,0.1625599999999991,0.284480000000002,978,4 in,Stage-I-like
moisture_4in,stage-I-like,"(0.133, 0.2]",0.1663709104121154,0.2438399999999987,0.1788160000000047,0.284480000000002,893,4 in,Stage-I-like
moisture_4in,stage-I-like,"(0.2, 0.267]",0.2338205778090939,0.2438399999999916,0.1625599999999991,0.3251199999999983,866,4 in,Stage-I-like
moisture_4in,stage-I-like,"(0.267, 0.333]",0.3003113548578693,0.2032000000000025,0.1219199999999958,0.284480000000002,1002,4 in,Stage-I-like
moisture_4in,stage-I-like,"(0.333, 0.4]",0.3671318687107335,0.1625600000000062,0.1219199999999887,0.2844799999999949,1065,4 in,Stage-I-like
moisture_4in,stage-I-like,"(0.4, 0.467]",0.4331994441415697,0.1625599999999991,0.1219199999999958,0.2844799999999878,1056,4 in,Stage-I-like
moisture_4in,stage-I-like,"(0.467, 0.533]",0.4993626698427502,0.2031999999999953,0.1219200000000029,0.284480000000002,953,4 in,Stage-I-like
moisture_4in,stage-I-like,"(0.533, 0.6]",0.5662211353280455,0.2113280000000053,0.1625599999999991,0.2926080000000013,882,4 in,Stage-I-like
moisture_4in,stage-I-like,"(0.6, 0.667]",0.6330501755386956,0.2438399999999987,0.1625600000000062,0.3251199999999983,804,4 in,Stage-I-like
moisture_4in,stage-I-like,"(0.667, 0.733]",0.6993236412412722,0.2438400000000058,0.1696720000000038,0.3251199999999983,770,4 in,Stage-I-like
moisture_4in,stage-I-like,"(0.733, 0.8]",0.7665160319991439,0.2438399999999987,0.1625600000000133,0.3251199999999983,742,4 in,Stage-I-like
moisture_4in,stage-I-like,"(0.8, 0.867]",0.8336815795807587,0.2032000000000025,0.162559999999992,0.284480000000002,757,4 in,Stage-I-like
moisture_4in,stage-I-like,"(0.867, 0.933]",0.9013142184850912,0.1625599999999991,0.0812800000000066,0.2438400000000058,905,4 in,Stage-I-like
moisture_4in,stage-I-like,"(0.933, 1.0]",0.9692112921650312,0.0812799999999995,0.0406400000000033,0.1625599999999991,1399,4 in,Stage-I-like
moisture_4in,early-transient-heavy,"(-0.001, 0.0667]",0.032764494288423,0.1625600000000133,0.0812800000000066,0.3251199999999983,1412,4 in,Early transient
moisture_4in,early-transient-heavy,"(0.0667, 0.133]",0.0989822296235688,0.284480000000002,0.1625599999999991,0.5283200000000079,1091,4 in,Early transient
moisture_4in,early-transient-heavy,"(0.133, 0.2]",0.1666913199463238,0.3210560000000022,0.1625600000000098,0.5689599999999935,927,4 in,Early transient
moisture_4in,early-transient-heavy,"(0.2, 0.267]",0.232912806851066,0.3251199999999983,0.2031999999999811,0.6095999999999862,859,4 in,Early transient
moisture_4in,early-transient-heavy,"(0.267, 0.333]",0.2996893807368772,0.3251199999999983,0.2031999999999953,0.6096000000000039,803,4 in,Early transient
moisture_4in,early-transient-heavy,"(0.333, 0.4]",0.3650907225367905,0.3251199999999983,0.2031999999999953,0.5689600000000041,757,4 in,Early transient
moisture_4in,early-transient-heavy,"(0.4, 0.467]",0.4341195311799161,0.3251200000000018,0.2032000000000096,0.6096000000000004,738,4 in,Early transient
moisture_4in,early-transient-heavy,"(0.467, 0.533]",0.499329349834115,0.3251200000000054,0.2032000000000096,0.6095999999999862,629,4 in,Early transient
moisture_4in,early-transient-heavy,"(0.533, 0.6]",0.5675590157748954,0.3657599999999945,0.2316480000000034,0.678687999999994,673,4 in,Early transient
moisture_4in,early-transient-heavy,"(0.6, 0.667]",0.6335453116564866,0.3251200000000018,0.2032000000000078,0.6512560000000027,600,4 in,Early transient
moisture_4in,early-transient-heavy,"(0.667, 0.733]",0.6997772181899226,0.3251200000000125,0.2032000000000025,0.6502399999999966,600,4 in,Early transient
moisture_4in,early-transient-heavy,"(0.733, 0.8]",0.7675934562060287,0.3251199999999983,0.2031999999999953,0.6502399999999984,604,4 in,Early transient
moisture_4in,early-transient-heavy,"(0.8, 0.867]",0.8336008143906144,0.3657599999999945,0.2031999999999953,0.81280000000001,623,4 in,Early transient
moisture_4in,early-transient-heavy,"(0.867, 0.933]",0.8997414239199806,0.4063999999999907,0.2032000000000025,0.7315199999999926,715,4 in,Early transient
moisture_4in,early-transient-heavy,"(0.933, 1.0]",0.9653040043377178,0.2031999999999953,0.1219199999999958,0.3251199999999983,849,4 in,Early transient
