site_id,layer,detected_events,associated_48h_events,clean_48h_events,clean_stageII_48h_events,stageII_like_events,fitted_segments,fitted_segment_names,min_segment_events,median_segment_events,total_segment_points,median_local_rmse_mm,median_local_mae_mm,support_class,csr_status,layer_label
110,moisture_4in,165,128,85,42,76,3,"early_0_3h,post3_mid_storage,post3_late_storage",33,42.0,1357,0.4356229593336054,0.2639843615819247,strong,complete,4 in
110,moisture_8in,52,46,27,7,14,0,,0,,0,,,insufficient,not fitted,8 in
110,moisture_12in,22,20,9,4,11,0,,0,,0,,,insufficient,not fitted,12 in
110,moisture_16in,10,8,3,1,2,0,,0,,0,,,insufficient,not fitted,16 in
110,moisture_20in,10,10,4,0,1,0,,0,,0,,,none,not fitted,20 in
120,moisture_4in,24,24,9,1,4,0,,0,,0,,,insufficient,not fitted,4 in
120,moisture_8in,18,17,6,1,3,0,,0,,0,,,insufficient,not fitted,8 in
120,moisture_12in,2,2,0,0,0,0,,0,,0,,,none,not fitted,12 in
120,moisture_16in,5,4,2,0,1,0,,0,,0,,,none,not fitted,16 in
120,moisture_20in,9,5,2,0,2,0,,0,,0,,,none,not fitted,20 in
121,moisture_4in,25,25,17,13,17,3,"early_0_3h,post3_mid_storage,post3_late_storage",12,13.0,654,0.2082190039337136,0.1399794912822162,eligible,complete,4 in
121,moisture_8in,5,3,3,2,3,0,,0,,0,,,insufficient,not fitted,8 in
121,moisture_12in,7,3,3,2,4,0,,0,,0,,,insufficient,not fitted,12 in
121,moisture_16in,4,1,1,0,3,0,,0,,0,,,none,not fitted,16 in
121,moisture_20in,0,0,0,0,0,0,,0,,0,,,none,not fitted,20 in
125,moisture_4in,137,115,104,73,100,3,"early_0_3h,post3_mid_storage,post3_late_storage",66,73.0,3690,0.8858518044769598,0.5896145386568956,strong,complete,4 in
125,moisture_8in,46,40,38,22,26,3,"early_0_3h,post3_mid_storage,post3_late_storage",18,22.0,1337,0.6475458219609497,0.4385878402870435,eligible,complete,8 in
125,moisture_12in,31,29,28,22,24,3,"early_0_3h,post3_mid_storage,post3_late_storage",16,22.0,920,0.5424588591674716,0.2641040921352124,eligible,complete,12 in
125,moisture_16in,36,36,31,24,26,3,"early_0_3h,post3_mid_storage,post3_late_storage",10,24.0,776,0.5681853135989368,0.353152173143535,eligible,complete,16 in
125,moisture_20in,51,51,44,31,31,2,"early_0_3h,post3_late_storage",31,31.0,709,0.49129714856587037,0.36052752472358945,strong,partial,20 in
130,moisture_4in,101,70,55,41,75,3,"early_0_3h,post3_mid_storage,post3_late_storage",37,41.0,1357,0.4556713702895906,0.3086426215192332,strong,complete,4 in
130,moisture_8in,6,4,1,1,5,0,,0,,0,,,insufficient,not fitted,8 in
