subset,site_id,layer,segment,events,points,ccc,rmse_mm,mae_mm,bias_mm,layer_label,segment_label,segment_short
clean_stageII_48h,110,moisture_4in,early_0_3h,42,501,0.9893127604057896,0.4973176446656336,0.2943144131619546,0.0125813195369377,4 in,"Early transient, 0-3 h",Early
clean_stageII_48h,110,moisture_4in,post3_mid_storage,33,372,0.993678389667396,0.4136598586417728,0.2639843615819247,-0.020608288553059,4 in,Post-3 h mid-storage,Mid-storage
clean_stageII_48h,110,moisture_4in,post3_late_storage,42,484,0.9921484689201828,0.4356229593336054,0.2059240354268207,-0.0398387731717144,4 in,Post-3 h low-storage tail,Low-storage
clean_stageII_48h,121,moisture_4in,early_0_3h,13,156,0.9736979828522312,0.4618157833149486,0.2880898164532722,0.0485125019040008,4 in,"Early transient, 0-3 h",Early
clean_stageII_48h,121,moisture_4in,post3_mid_storage,12,219,0.9942609952354462,0.1958480784371964,0.1399794912822162,0.012754443475751,4 in,Post-3 h mid-storage,Mid-storage
clean_stageII_48h,121,moisture_4in,post3_late_storage,13,279,0.9911721457276086,0.2082190039337136,0.1263857324078397,-0.0612040854461788,4 in,Post-3 h low-storage tail,Low-storage
clean_stageII_48h,125,moisture_4in,early_0_3h,73,876,0.95820886877571,0.8858518044769598,0.6184155289126109,0.2776612558644267,4 in,"Early transient, 0-3 h",Early
clean_stageII_48h,125,moisture_4in,post3_mid_storage,66,1266,0.973378882023818,0.5643122483193803,0.3877151537089641,-0.0709737316130934,4 in,Post-3 h mid-storage,Mid-storage
clean_stageII_48h,125,moisture_4in,post3_late_storage,73,1548,0.924910673225895,1.085638823945251,0.5896145386568956,0.1188242953731294,4 in,Post-3 h low-storage tail,Low-storage
clean_stageII_48h,130,moisture_4in,early_0_3h,41,492,0.9872778273846684,0.4121924158823549,0.3086426215192332,0.0069624976138694,4 in,"Early transient, 0-3 h",Early
clean_stageII_48h,130,moisture_4in,post3_mid_storage,37,386,0.9509536001894768,0.913539598801922,0.3550048003925922,0.1254393316507245,4 in,Post-3 h mid-storage,Mid-storage
clean_stageII_48h,130,moisture_4in,post3_late_storage,41,479,0.9859907435955244,0.4556713702895906,0.1952246877054047,0.0236012679117756,4 in,Post-3 h low-storage tail,Low-storage
clean_stageII_48h,140,moisture_4in,early_0_3h,67,804,0.9842128654115108,0.8104071204384129,0.4952139296967625,0.2405454845319733,4 in,"Early transient, 0-3 h",Early
clean_stageII_48h,140,moisture_4in,post3_mid_storage,54,722,0.994865641070769,0.4636104246076566,0.2955549168481681,0.0364406330575347,4 in,Post-3 h mid-storage,Mid-storage
clean_stageII_48h,140,moisture_4in,post3_late_storage,67,827,0.973770139879,1.0443736564688737,0.3446486598261081,0.1366210861415045,4 in,Post-3 h low-storage tail,Low-storage
clean_stageII_48h,150,moisture_4in,early_0_3h,17,204,0.9704744368302864,0.6305017015775699,0.4399418397394122,-0.0270562789234056,4 in,"Early transient, 0-3 h",Early
clean_stageII_48h,150,moisture_4in,post3_mid_storage,14,218,0.6866637469048618,1.7275345793965051,1.3121727498496516,-0.6136332099627112,4 in,Post-3 h mid-storage,Mid-storage
clean_stageII_48h,150,moisture_4in,post3_late_storage,19,340,0.99357330016972,0.3341253205824558,0.2509052403526799,-0.0346531957323513,4 in,Post-3 h low-storage tail,Low-storage
clean_stageII_48h,160,moisture_4in,early_0_3h,81,972,0.9678540088922905,1.0099968048305428,0.4717522054526926,0.1072696216495725,4 in,"Early transient, 0-3 h",Early
clean_stageII_48h,160,moisture_4in,post3_mid_storage,70,829,0.9685486867554508,0.960555223038454,0.455531434865083,0.1493597281084362,4 in,Post-3 h mid-storage,Mid-storage
clean_stageII_48h,160,moisture_4in,post3_late_storage,81,1032,0.9775226188418747,0.8106343684929883,0.2912157933481446,0.0658053911482243,4 in,Post-3 h low-storage tail,Low-storage
clean_stageII_48h,170,moisture_4in,early_0_3h,97,1164,0.9390208472672288,0.466308323212167,0.3020165077558447,0.0900385926163007,4 in,"Early transient, 0-3 h",Early
clean_stageII_48h,170,moisture_4in,post3_mid_storage,81,983,0.2861858552417626,1.0393300178990932,0.7389325479240317,-0.0582997426501496,4 in,Post-3 h mid-storage,Mid-storage
clean_stageII_48h,170,moisture_4in,post3_late_storage,97,1404,0.1317144542288935,1.329577486668299,1.0211061409794822,-0.9172667338149212,4 in,Post-3 h low-storage tail,Low-storage
clean_stageII_48h,230,moisture_4in,early_0_3h,19,228,0.9801005603308162,0.3252345828671151,0.1977263073827635,0.0670892204031441,4 in,"Early transient, 0-3 h",Early
clean_stageII_48h,230,moisture_4in,post3_mid_storage,17,260,0.9968781089095176,0.1079683479681203,0.0702533708270969,0.0036989073212122,4 in,Post-3 h mid-storage,Mid-storage
clean_stageII_48h,230,moisture_4in,post3_late_storage,19,384,0.9864966723864522,0.242461823833325,0.181782516641879,-0.0492237242025837,4 in,Post-3 h low-storage tail,Low-storage
clean_stageII_48h,260,moisture_4in,early_0_3h,62,744,0.9227025233338104,2.6915933542038117,0.9715296506302954,0.7210623876144272,4 in,"Early transient, 0-3 h",Early
clean_stageII_48h,260,moisture_4in,post3_mid_storage,60,907,0.982150667051646,1.1617342027771935,0.7390188208953014,-0.251254945601201,4 in,Post-3 h mid-storage,Mid-storage
clean_stageII_48h,260,moisture_4in,post3_late_storage,62,1033,0.9984974243066966,0.3460569647912511,0.2492023523957332,-0.0394756747811479,4 in,Post-3 h low-storage tail,Low-storage
clean_stageII_48h,270,moisture_4in,early_0_3h,70,825,0.9557039804490404,1.5231779810092592,0.8325811910487007,0.5204443374656121,4 in,"Early transient, 0-3 h",Early
clean_stageII_48h,270,moisture_4in,post3_mid_storage,58,762,0.9708847722520696,1.283129541355173,0.4291838448883008,0.1281295206043363,4 in,Post-3 h mid-storage,Mid-storage
clean_stageII_48h,270,moisture_4in,post3_late_storage,69,934,0.951358790905498,1.5850444352264452,0.4376303753448621,0.1976966196638848,4 in,Post-3 h low-storage tail,Low-storage
clean_stageII_48h,275,moisture_4in,early_0_3h,40,480,0.981431932863006,0.5019763151572583,0.3202206964678405,0.1091317200902103,4 in,"Early transient, 0-3 h",Early
clean_stageII_48h,275,moisture_4in,post3_mid_storage,36,704,0.9209423308162314,0.9236010258547432,0.4958672949959963,0.0915409481093554,4 in,Post-3 h mid-storage,Mid-storage
clean_stageII_48h,275,moisture_4in,post3_late_storage,40,645,0.9586181759448116,0.6277216193905684,0.2509173077336604,0.0536099717240728,4 in,Post-3 h low-storage tail,Low-storage
clean_stageII_48h,280,moisture_4in,early_0_3h,19,228,0.971909120907798,0.3839540201511668,0.2431544304177733,0.0398358471551686,4 in,"Early transient, 0-3 h",Early
clean_stageII_48h,280,moisture_4in,post3_mid_storage,18,241,0.9838090719966546,0.2082535932923145,0.1607071117585709,0.0042264326089657,4 in,Post-3 h mid-storage,Mid-storage
clean_stageII_48h,280,moisture_4in,post3_late_storage,19,286,0.9927201530821674,0.1965533383770018,0.1115112803804257,-0.0439533837305833,4 in,Post-3 h low-storage tail,Low-storage
clean_stageII_48h,290,moisture_4in,early_0_3h,10,120,0.9173868082420568,0.413087095334809,0.2764273222829062,0.0281075570912859,4 in,"Early transient, 0-3 h",Early
clean_stageII_48h,290,moisture_4in,post3_late_storage,10,269,0.9447871732569276,0.3319001333193053,0.2032054969854574,-0.1189472692545095,4 in,Post-3 h low-storage tail,Low-storage
clean_stageII_48h,303,moisture_4in,early_0_3h,59,708,0.5742510684729134,3.6792634674432136,1.9115028680174868,0.8160379118749564,4 in,"Early transient, 0-3 h",Early
clean_stageII_48h,303,moisture_4in,post3_mid_storage,49,1097,0.968429362697618,0.6743378995578503,0.5396958248025022,0.0043344893622457,4 in,Post-3 h mid-storage,Mid-storage
clean_stageII_48h,303,moisture_4in,post3_late_storage,59,1684,0.9462670683140496,0.8123803857828251,0.6144182691383612,0.1078866165593324,4 in,Post-3 h low-storage tail,Low-storage
clean_stageII_48h,311,moisture_4in,early_0_3h,75,900,0.9583665160890756,0.5984980489370503,0.3442873338484362,0.2508098504048603,4 in,"Early transient, 0-3 h",Early
clean_stageII_48h,311,moisture_4in,post3_mid_storage,72,1268,0.5820005724416947,1.5836676478069662,1.0909303603734524,-0.5945256175555562,4 in,Post-3 h mid-storage,Mid-storage
clean_stageII_48h,311,moisture_4in,post3_late_storage,75,1143,0.9590030092723326,0.6392750942041141,0.2545136746988687,0.0509525886203882,4 in,Post-3 h low-storage tail,Low-storage
clean_stageII_48h,315,moisture_4in,early_0_3h,28,336,0.9930127211560312,0.3889217284151022,0.2259756310497044,0.0301760959718373,4 in,"Early transient, 0-3 h",Early
clean_stageII_48h,315,moisture_4in,post3_mid_storage,26,389,0.9837704188133508,0.6217010295657766,0.4470047308201889,0.0144073030219302,4 in,Post-3 h mid-storage,Mid-storage
