ID,year,first_utc,last_utc,rows_n,moisture_4_n,moisture_8_n,moisture_12_n,moisture_16_n,moisture_20_n
110,2023,2023-03-28 14:30:00,2023-12-31 23:45:00,26725,23521,26725,26725,26725,26725
110,2024,2024-01-01 00:00:00,2024-12-31 23:45:00,35132,3044,35132,35132,35132,35132
110,2025,2025-01-01 00:00:00,2025-12-31 23:45:00,35035,33627,35035,35035,35035,35035
120,2023,2023-03-29 13:45:00,2023-12-31 23:45:00,26125,22256,26125,26125,26125,26125
120,2024,2024-01-01 00:00:00,2024-12-31 23:45:00,35132,33318,35132,35132,35132,35132
120,2025,2025-01-01 00:00:00,2025-12-31 23:45:00,35035,35016,35035,35035,35035,35035
121,2023,2023-09-06 10:30:00,2023-12-31 23:45:00,11190,11190,11190,11190,11190,11190
121,2024,2024-01-01 00:00:00,2024-12-31 23:45:00,35129,35129,35129,35129,35129,35129
121,2025,2025-01-01 00:00:00,2025-12-31 23:45:00,35034,35034,35034,35034,35034,35034
125,2023,2023-01-01 00:00:00,2023-12-31 23:45:00,35004,35004,35004,35004,35004,35004
125,2024,2024-01-01 00:00:00,2024-12-31 23:45:00,35132,35132,35132,35132,35132,35132
125,2025,2025-01-01 00:00:00,2025-12-31 23:45:00,35036,35036,35036,35036,35036,35036
130,2023,2023-09-26 16:30:00,2023-12-31 23:45:00,9246,9246,9246,9246,9246,9246
130,2024,2024-01-01 00:00:00,2024-12-31 23:45:00,35131,35127,35131,35131,35131,35131
130,2025,2025-01-01 00:00:00,2025-12-31 23:45:00,35036,35036,35036,35036,35036,35036
140,2023,2023-09-15 19:15:00,2023-12-31 23:45:00,10290,10290,10290,10290,10290,10290
140,2024,2024-01-01 00:00:00,2024-12-31 23:45:00,35127,35083,35127,35127,35127,35127
140,2025,2025-01-01 00:00:00,2025-12-31 23:45:00,35024,35024,35024,35024,35024,35024
150,2023,2023-05-08 14:30:00,2023-12-31 23:45:00,22787,19770,22787,22787,22787,22787
150,2024,2024-01-01 00:00:00,2024-12-31 23:45:00,35131,6250,35131,35131,35038,35131
150,2025,2025-01-01 00:00:00,2025-12-31 23:45:00,35035,4922,35035,35035,34985,35035
160,2023,2023-09-06 10:30:00,2023-12-31 23:45:00,11190,10934,11190,11190,11190,11190
160,2024,2024-01-01 00:00:00,2024-12-31 23:45:00,35131,32528,35131,35131,35130,35131
160,2025,2025-01-01 00:00:00,2025-12-31 23:45:00,35036,35036,35036,35036,35036,35036
170,2023,2023-01-01 00:00:00,2023-12-31 23:45:00,35032,35032,35032,35032,35032,35032
170,2024,2024-01-01 00:00:00,2024-12-31 23:45:00,35132,35132,35132,35132,35132,35132
170,2025,2025-01-01 00:00:00,2025-12-31 23:45:00,35035,35035,35035,35035,35035,35035
190,2023,2023-01-01 00:00:00,2023-12-31 23:45:00,31937,31937,31937,31937,31937,31937
