ID,year,first_utc,last_utc,rows_n_soil,moisture_4_n,moisture_8_n,moisture_12_n,moisture_16_n,moisture_20_n,rows_n_wx,rain_2m_inches_n,rain_total_inches
110,2023,2023-03-28 14:30:00,2023-12-31 23:45:00,26725,23521,26725,26725,26725,26725,35021,35021,53.49999956972897
110,2024,2024-01-01 00:00:00,2024-12-31 23:45:00,35132,3044,35132,35132,35132,35132,35036,35036,63.069999773055315
110,2025,2025-01-01 00:00:00,2025-12-31 23:45:00,35035,33627,35035,35035,35035,35035,35035,35035,65.38999997638166
120,2023,2023-03-29 13:45:00,2023-12-31 23:45:00,26125,22256,26125,26125,26125,26125,34519,34519,43.169999703764915
120,2024,2024-01-01 00:00:00,2024-12-31 23:45:00,35132,33318,35132,35132,35132,35132,35036,35036,57.50999951176345
120,2025,2025-01-01 00:00:00,2025-12-31 23:45:00,35035,35016,35035,35035,35035,35035,35035,35035,30.049999764189124
121,2023,2023-09-06 10:30:00,2023-12-31 23:45:00,11190,11190,11190,11190,11190,11190,35022,35022,81.00999963469803
121,2024,2024-01-01 00:00:00,2024-12-31 23:45:00,35129,35129,35129,35129,35129,35129,35033,35033,61.20999978668988
121,2025,2025-01-01 00:00:00,2025-12-31 23:45:00,35034,35034,35034,35034,35034,35034,35034,35034,48.64999992586672
125,2023,2023-01-01 00:00:00,2023-12-31 23:45:00,35004,35004,35004,35004,35004,35004,35004,35004,53.98999965377152
125,2024,2024-01-01 00:00:00,2024-12-31 23:45:00,35132,35132,35132,35132,35132,35132,35036,35036,55.58999980799854
125,2025,2025-01-01 00:00:00,2025-12-31 23:45:00,35036,35036,35036,35036,35036,35036,35036,35036,49.59999975003302
130,2023,2023-09-26 16:30:00,2023-12-31 23:45:00,9246,9246,9246,9246,9246,9246,35016,35016,45.799999695271254
130,2024,2024-01-01 00:00:00,2024-12-31 23:45:00,35131,35127,35131,35131,35131,35131,35034,35034,61.65999964810908
130,2025,2025-01-01 00:00:00,2025-12-31 23:45:00,35036,35036,35036,35036,35036,35036,35036,35036,46.61999952420592
140,2023,2023-09-15 19:15:00,2023-12-31 23:45:00,10290,10290,10290,10290,10290,10290,35021,35021,60.66999966092408
140,2024,2024-01-01 00:00:00,2024-12-31 23:45:00,35127,35083,35127,35127,35127,35127,35031,35031,64.72999983467162
140,2025,2025-01-01 00:00:00,2025-12-31 23:45:00,35024,35024,35024,35024,35024,35024,35024,35024,40.21999964118004
150,2023,2023-05-08 14:30:00,2023-12-31 23:45:00,22787,19770,22787,22787,22787,22787,35021,35021,73.35999972000718
150,2024,2024-01-01 00:00:00,2024-12-31 23:45:00,35131,6250,35131,35131,35038,35131,35035,35035,66.72999969869852
150,2025,2025-01-01 00:00:00,2025-12-31 23:45:00,35035,4922,35035,35035,34985,35035,35035,35035,51.58999959565699
160,2023,2023-09-06 10:30:00,2023-12-31 23:45:00,11190,10934,11190,11190,11190,11190,35019,35019,75.67999965324998
160,2024,2024-01-01 00:00:00,2024-12-31 23:45:00,35131,32528,35131,35131,35130,35131,35035,35035,68.04999984242022
160,2025,2025-01-01 00:00:00,2025-12-31 23:45:00,35036,35036,35036,35036,35036,35036,35036,35036,40.24999966658652
170,2023,2023-01-01 00:00:00,2023-12-31 23:45:00,35032,35032,35032,35032,35032,35032,35034,35034,58.49999961256981
170,2024,2024-01-01 00:00:00,2024-12-31 23:45:00,35132,35132,35132,35132,35132,35132,35036,35036,58.64999960921705
170,2025,2025-01-01 00:00:00,2025-12-31 23:45:00,35035,35035,35035,35035,35035,35035,35035,35035,42.039999740198255
190,2023,2023-01-01 00:00:00,2023-12-31 23:45:00,31937,31937,31937,31937,31937,31937,35035,35035,64.22999962233007
190,2024,2024-01-01 00:00:00,2024-12-31 23:45:00,35132,35132,35132,35132,35132,35132,35036,35036,50.809999752789736
190,2025,2025-01-01 00:00:00,2025-12-31 23:45:00,35036,35036,35036,35036,35036,35036,35036,35036,43.15999961644411
230,2023,2023-03-23 10:15:00,2023-12-31 23:45:00,27222,27222,27222,27222,27222,27222,35025,35025,62.74999963119626
230,2024,2024-01-01 00:00:00,2024-12-31 23:45:00,35131,35131,35131,35131,35131,35131,35034,35034,52.749999755993485
230,2025,2025-01-01 00:00:00,2025-12-31 23:45:00,35035,35035,35035,35035,35035,35035,35035,35035,44.309999672695994
240,2023,2023-01-01 00:00:00,2023-12-31 23:45:00,34940,23222,34940,34940,34940,34940,34943,34943,58.45999965630472
240,2024,2024-01-01 00:00:00,2024-12-31 23:45:00,34184,0,34184,34184,34184,34184,34092,34092,52.149999625980854
240,2025,2025-01-01 00:00:00,2025-12-31 23:45:00,34090,0,34090,34090,34090,34090,34090,34090,33.73999980092049
241,2023,2023-01-01 00:00:00,2023-12-31 23:45:00,35036,35036,35036,35036,35036,35036,35036,35036,44.75999983213842
241,2024,2024-01-01 00:00:00,2024-12-31 23:45:00,35132,35132,35132,35132,35132,35132,35036,35036,50.619999727234244
241,2025,2025-01-01 00:00:00,2025-12-31 23:45:00,35036,35036,35036,35036,35036,35036,35036,35036,36.41999994404614
250,2023,2023-03-14 16:15:00,2023-12-31 23:45:00,28056,8476,28056,28056,28056,28056,34607,34607,43.45999982766807
250,2024,2024-01-01 00:00:00,2024-12-31 23:45:00,35118,18466,35118,35118,35118,35118,35022,35022,48.369999745860696
250,2025,2025-01-01 00:00:00,2025-12-31 23:45:00,35035,35035,35035,35035,35035,35035,35035,35035,37.83999990671873
260,2023,2023-03-23 19:45:00,2023-12-31 23:45:00,27115,27100,27115,27115,27115,27115,34333,34333,46.799999790266156
260,2024,2024-01-01 00:00:00,2024-12-31 23:45:00,35123,35123,35123,35123,35123,35123,35027,35027,56.379999816417694
260,2025,2025-01-01 00:00:00,2025-12-31 23:45:00,35029,35028,35029,35029,35029,35029,35029,35029,35.86999966017902
270,2023,2023-03-23 16:15:00,2023-12-31 23:45:00,27183,27169,27183,27183,27183,27183,34981,34981,46.01999976672232
270,2024,2024-01-01 00:00:00,2024-12-31 23:45:00,35127,19297,35057,35127,35127,35127,35029,35029,63.81999966315925
