TABLE_NAME,ORDINAL_POSITION,COLUMN_NAME,DATA_TYPE,IS_NULLABLE
soil_moisture,1,ID,int,NO
soil_moisture,2,UTC,datetime,NO
soil_moisture,3,temp_sms_4_inch_C,float,YES
soil_moisture,4,temp_sms_8_inch_C,float,YES
soil_moisture,5,temp_sms_12_inch_C,float,YES
soil_moisture,6,temp_sms_16_inch_C,float,YES
soil_moisture,7,temp_sms_20_inch_C,float,YES
soil_moisture,8,moisture_sms_4_inch_pct,float,YES
soil_moisture,9,moisture_sms_8_inch_pct,float,YES
soil_moisture,10,moisture_sms_12_inch_pct,float,YES
soil_moisture,11,moisture_sms_16_inch_pct,float,YES
soil_moisture,12,moisture_sms_20_inch_pct,float,YES
wx,1,ID,int,NO
wx,2,UTC,datetime,NO
wx,3,temp_soil_10cm_C,float,YES
wx,4,temp_air_60cm_C,float,YES
wx,5,temp_air_2m_C,float,YES
wx,6,temp_air_10m_C,float,YES
wx,7,rh_2m_pct,float,YES
wx,8,bp_2m_mb,float,YES
wx,9,leaf_wetness_60cm_ohms,float,YES
wx,10,rain_2m_inches,float,YES
wx,11,rain_backup_2m_inches,float,YES
wx,12,rfd_2m_wm2,float,YES
wx,13,wind_speed_10m_mph,float,YES
wx,14,wind_direction_10m_deg,float,YES
wx,15,wind_direction_stdev_10m_deg,float,YES
wx,16,wind_speed_max_10m_mph,float,YES
wx,17,wind_speed_max_10m_hhmm,float,YES
wx,18,wind_speed_min_10m_mph,float,YES
wx,19,wind_speed_min_10m_hhmm,float,YES
wx,20,trf_2m_kJm2,float,YES
wx,21,temp_wb_2m_C,float,YES
wx,22,temp_dp_2m_C,float,YES
wx,23,vp_2m_kPa,float,YES
wx,24,vp_sat_2m_kPa,float,YES
wx,25,vp_def_2m_kPa,float,YES
wx,26,last_update,timestamp,YES
wx,27,batt,float,YES
