layer,audit_class,events
moisture_12in,not associated within 48h,108
moisture_12in,rain-associated but interrupted,167
moisture_12in,rain-associated clean 24-48h,80
moisture_12in,rain-associated clean <=24h,269
moisture_16in,not associated within 48h,154
moisture_16in,rain-associated but interrupted,105
moisture_16in,rain-associated clean 24-48h,111
moisture_16in,rain-associated clean <=24h,264
moisture_20in,not associated within 48h,284
moisture_20in,rain-associated but interrupted,71
moisture_20in,rain-associated clean 24-48h,77
moisture_20in,rain-associated clean <=24h,167
moisture_4in,not associated within 48h,872
moisture_4in,rain-associated but interrupted,778
moisture_4in,rain-associated clean 24-48h,525
moisture_4in,rain-associated clean <=24h,2101
moisture_8in,not associated within 48h,209
moisture_8in,rain-associated but interrupted,355
moisture_8in,rain-associated clean 24-48h,74
moisture_8in,rain-associated clean <=24h,376
