layer,regime_proxy,storage_bin,storage_norm,loss_mm_h_median,loss_mm_h_q25,loss_mm_h_q75,points
moisture_12in,early-transient-heavy,"(-0.001, 0.0667]",0.0310537771708776,0.12192000000000291,0.06096000000000057,0.24384000000000583,412
moisture_12in,early-transient-heavy,"(0.0667, 0.133]",0.10126432951748018,0.28448000000000206,0.16256000000001158,0.5283200000000026,260
moisture_12in,early-transient-heavy,"(0.133, 0.2]",0.1663279627930522,0.3251199999999983,0.20319999999998828,0.6096000000000146,207
moisture_12in,early-transient-heavy,"(0.2, 0.267]",0.23223606724963328,0.3251199999999983,0.20319999999998117,0.5283199999999955,200
moisture_12in,early-transient-heavy,"(0.267, 0.333]",0.30037825461882856,0.3251199999999912,0.16255999999999915,0.5029200000000014,202
moisture_12in,early-transient-heavy,"(0.333, 0.4]",0.36515127009788356,0.3251200000000125,0.20319999999999894,0.48767999999999745,183
moisture_12in,early-transient-heavy,"(0.4, 0.467]",0.4336043724324773,0.3251199999999983,0.20319999999999538,0.5689600000000041,189
moisture_12in,early-transient-heavy,"(0.467, 0.533]",0.5004507808602602,0.36575999999999453,0.20320000000000427,0.6095999999999862,202
moisture_12in,early-transient-heavy,"(0.533, 0.6]",0.5660015361490939,0.3251199999999983,0.20319999999999538,0.5283199999999937,175
moisture_12in,early-transient-heavy,"(0.6, 0.667]",0.6318196837041826,0.3251199999999983,0.20319999999999538,0.48768000000001166,187
moisture_12in,early-transient-heavy,"(0.667, 0.733]",0.6996162737951142,0.3251199999999983,0.2032000000000096,0.5689599999999917,184
moisture_12in,early-transient-heavy,"(0.733, 0.8]",0.769285254044377,0.3251200000000125,0.2032000000000096,0.48768000000000455,171
moisture_12in,early-transient-heavy,"(0.8, 0.867]",0.8364374540585129,0.36576000000000874,0.24383999999999162,0.6096000000000004,179
moisture_12in,early-transient-heavy,"(0.867, 0.933]",0.9013748058908321,0.3251199999999841,0.20319999999999538,0.5283199999999937,199
moisture_12in,early-transient-heavy,"(0.933, 1.0]",0.9670106443125741,0.16255999999999915,0.08128000000000668,0.28448000000000206,264
moisture_12in,mixed_or_uncertain,"(-0.001, 0.0667]",0.029342632546786873,0.2255519999999951,0.09144000000000574,0.3149599999999886,30
moisture_12in,mixed_or_uncertain,"(0.0667, 0.133]",0.09870849276263982,0.2235200000000006,0.12192000000000291,0.3261360000000031,24
moisture_12in,mixed_or_uncertain,"(0.133, 0.2]",0.1659352801940424,0.24383999999999162,0.14224000000000103,0.3251200000000054,27
moisture_12in,mixed_or_uncertain,"(0.2, 0.267]",0.2345266488346016,0.24384000000000228,0.16256000000000093,0.3555999999999955,22
moisture_12in,mixed_or_uncertain,"(0.267, 0.333]",0.2991415695715204,0.24383999999999162,0.12192000000000291,0.36576000000000874,21
moisture_12in,mixed_or_uncertain,"(0.333, 0.4]",0.36698745492582663,0.24384000000000583,0.16255999999999915,0.3251199999999983,21
