layer,regime_proxy,events
moisture_12in,early-transient-heavy,371
moisture_12in,mixed_or_uncertain,17
moisture_12in,stage-I-like,33
moisture_12in,stage-II-like,203
moisture_16in,early-transient-heavy,490
moisture_16in,mixed_or_uncertain,10
moisture_16in,stage-I-like,12
moisture_16in,stage-II-like,122
moisture_20in,early-transient-heavy,508
moisture_20in,mixed_or_uncertain,9
moisture_20in,stage-I-like,8
moisture_20in,stage-II-like,74
moisture_4in,early-transient-heavy,1333
moisture_4in,mixed_or_uncertain,197
moisture_4in,stage-I-like,338
moisture_4in,stage-II-like,2408
moisture_8in,early-transient-heavy,426
moisture_8in,mixed_or_uncertain,45
moisture_8in,stage-I-like,58
moisture_8in,stage-II-like,485
