site_id,soil_rows,wx_rows,events,loss_points
110,96892,105092,259,5567
120,96292,104590,58,730
121,81353,105089,41,1753
125,105172,105076,301,10777
130,79413,105086,110,3288
140,80441,105076,310,8482
150,92953,105091,45,1847
160,81357,105090,259,7700
170,105199,105105,159,5453
190,102105,105107,16,301
230,97388,105094,35,1328
240,103214,103125,19,322
241,105204,105108,0,0
250,98209,104664,19,611
260,97267,104389,263,9656
270,97346,105046,279,8747
275,97663,104982,96,4015
280,97921,105075,44,1457
290,97933,105084,63,3210
302,100922,105091,0,0
303,104416,105077,447,14723
304,93475,105042,1,28
311,105204,105107,185,7727
315,105194,105096,45,1820
320,104417,104321,7,123
335,105135,105039,216,6658
340,93498,105081,148,9288
380,93411,104217,10,344
395,105004,105000,11,442
400,105010,104723,28,830
405,82073,105054,1832,21401
410,97245,105106,0,0
415,71352,71225,20,326
420,83541,104611,204,7769
425,50167,92485,42,1268
430,82692,105102,191,6538
435,92927,104047,9,569
440,82081,105062,234,4439
450,105193,105099,331,11261
455,93447,105082,296,10247
460,105115,105019,161,6969
470,93430,105078,13,319
480,93332,105057,169,6551
490,82538,104909,171,6134
