layer,segment,subset,local_model_pairs,median_curve_rmse_to_main_mm,mean_curve_rmse_to_main_mm,median_curve_bias_to_main_mm,median_curve_max_abs_to_main_mm
moisture_12in,early_0_3h,all_events,3,5.19132037537417,4.15111602922951,3.873135029917168,12.139627165651273
moisture_12in,early_0_3h,clean_48h,3,5.4098545356917045,4.521021190874909,3.7550634304203383,11.792235658020125
moisture_12in,early_0_3h,clean_stageII_48h,3,0.0,0.0,0.0,0.0
moisture_12in,early_0_3h,clean_stageII_48h_no405,2,0.0,0.0,0.0,0.0
moisture_12in,early_0_3h,clean_stageII_48h_site_balanced,3,0.0,0.0,0.0,0.0
moisture_12in,post3_late_storage,all_events,3,2.162274281268101,3.1739422373928274,1.182943453358279,4.70803067819357
moisture_12in,post3_late_storage,clean_48h,3,2.4335888624769724,3.1284430129896905,1.183515201055793,6.029248963430465
moisture_12in,post3_late_storage,clean_stageII_48h,3,0.0,0.0,0.0,0.0
moisture_12in,post3_late_storage,clean_stageII_48h_no405,2,0.0,0.0,0.0,0.0
moisture_12in,post3_late_storage,clean_stageII_48h_site_balanced,3,0.0,0.0,0.0,0.0
moisture_12in,post3_mid_storage,all_events,2,2.222392600465666,2.222392600465666,1.3849258907659348,4.669543828138964
moisture_12in,post3_mid_storage,clean_48h,2,3.5809759230929616,3.5809759230929616,3.139059510485838,6.192530791002956
moisture_12in,post3_mid_storage,clean_stageII_48h,2,0.0,0.0,0.0,0.0
moisture_12in,post3_mid_storage,clean_stageII_48h_no405,1,0.0,0.0,0.0,0.0
moisture_12in,post3_mid_storage,clean_stageII_48h_site_balanced,2,0.0,0.0,0.0,0.0
moisture_16in,early_0_3h,all_events,2,6.793504936370165,6.793504936370165,4.921870753563586,13.534926233868443
moisture_16in,early_0_3h,clean_48h,2,5.109090160699911,5.109090160699911,2.429792081427795,11.143050229493204
moisture_16in,early_0_3h,clean_stageII_48h,2,0.0,0.0,0.0,0.0
moisture_16in,early_0_3h,clean_stageII_48h_no405,1,0.0,0.0,0.0,0.0
moisture_16in,early_0_3h,clean_stageII_48h_site_balanced,2,0.0,0.0,0.0,0.0
moisture_16in,post3_late_storage,all_events,2,6.377964992653371,6.377964992653371,6.1149500307981715,8.45433490733253
moisture_16in,post3_late_storage,clean_48h,2,5.6893406072511405,5.6893406072511405,5.465691198079203,7.732900694659892
moisture_16in,post3_late_storage,clean_stageII_48h,2,0.0,0.0,0.0,0.0
moisture_16in,post3_late_storage,clean_stageII_48h_no405,1,0.0,0.0,0.0,0.0
moisture_16in,post3_late_storage,clean_stageII_48h_site_balanced,2,0.0,0.0,0.0,0.0
moisture_16in,post3_mid_storage,all_events,2,7.300938586096774,7.300938586096774,6.6829596865496095,10.266999906703953
moisture_16in,post3_mid_storage,clean_48h,2,6.480327530546289,6.480327530546289,5.82466507206778,10.031907495932668
moisture_16in,post3_mid_storage,clean_stageII_48h,2,0.0,0.0,0.0,0.0
moisture_16in,post3_mid_storage,clean_stageII_48h_no405,1,0.0,0.0,0.0,0.0
moisture_16in,post3_mid_storage,clean_stageII_48h_site_balanced,2,0.0,0.0,0.0,0.0
moisture_20in,early_0_3h,all_events,1,0.5882429652885612,0.5882429652885612,-0.42187255442261334,2.3217973844048707
moisture_20in,early_0_3h,clean_48h,1,0.5032858906034963,0.5032858906034963,-0.2932361433810452,0.9414874917356428
moisture_20in,early_0_3h,clean_stageII_48h,1,0.0,0.0,0.0,0.0
moisture_20in,early_0_3h,clean_stageII_48h_no405,1,0.0,0.0,0.0,0.0
moisture_20in,early_0_3h,clean_stageII_48h_site_balanced,1,0.3510593356910024,0.3510593356910024,-0.08184621521852983,0.728332765105467
moisture_20in,post3_late_storage,all_events,1,0.461120525522863,0.461120525522863,0.277166790449568,1.539903846262316
moisture_20in,post3_late_storage,clean_48h,1,0.35357906200071104,0.35357906200071104,0.1876712466621144,1.2494173792843846
moisture_20in,post3_late_storage,clean_stageII_48h,1,0.0,0.0,0.0,0.0
moisture_20in,post3_late_storage,clean_stageII_48h_no405,1,0.0,0.0,0.0,0.0
moisture_20in,post3_late_storage,clean_stageII_48h_site_balanced,1,0.12062739923574982,0.12062739923574982,-0.06033306065896418,0.29270266525642796
moisture_4in,early_0_3h,all_events,30,2.5725192747755496,3.244225002119288,-1.0434207932623791,5.189837613055468
moisture_4in,early_0_3h,clean_48h,30,1.967202625333481,2.208046687591622,0.4521026759705993,4.060665602214774
moisture_4in,early_0_3h,clean_stageII_48h,30,0.0,0.0,0.0,0.0
moisture_4in,early_0_3h,clean_stageII_48h_no405,29,0.0,0.0,0.0,0.0
