subset,site_id,layer,segment,events,points,ccc,rmse_mm,mae_mm,bias_mm
all_events,110,moisture_12in,early_0_3h,22,237,0.9056394305957531,0.9594931956366393,0.5643864295693833,0.1835956585353931
all_events,110,moisture_12in,post3_late_storage,14,260,0.9948569842985292,0.20368084126126676,0.13738132783712062,-0.012541137408410126
all_events,110,moisture_16in,early_0_3h,10,92,0.5926681347607134,1.0697925390268257,0.6457041243925754,0.10419692187989535
all_events,110,moisture_20in,early_0_3h,10,84,0.832780704025831,0.9201013044411839,0.6549621070898874,0.26991346175968617
all_events,110,moisture_4in,early_0_3h,158,1702,0.9309245899337664,1.4095511148868272,1.0451067470239364,-0.21969302403905033
all_events,110,moisture_4in,post3_late_storage,107,1220,0.9861949740360428,0.6503264409984807,0.30362292915507144,0.1012483643290867
all_events,110,moisture_4in,post3_mid_storage,67,844,0.9928224110183482,0.4989465266625284,0.3009609034268141,0.05097231597760927
all_events,110,moisture_8in,early_0_3h,52,550,0.9024500236384733,1.3477630461001935,1.0543945355581472,0.31466405229920474
all_events,110,moisture_8in,post3_late_storage,27,373,0.978914461576497,0.3739513232599162,0.20242953911779896,-0.06239755631649438
all_events,110,moisture_8in,post3_mid_storage,11,106,0.9741038370613907,0.5539891950351649,0.4210300796724198,-0.0854201036305411
all_events,120,moisture_20in,early_0_3h,9,87,0.4299230482689263,1.0395207568401847,0.7180319853830962,-0.2610241232059561
all_events,120,moisture_4in,early_0_3h,23,231,0.9759822447880664,0.31683666099763497,0.25500927329561196,0.01974388437002613
all_events,120,moisture_4in,post3_late_storage,10,89,0.8932174751104507,0.27663246657359986,0.1295624661470825,-0.0200021471439507
all_events,120,moisture_8in,early_0_3h,18,178,0.9370748676255957,0.5441111198529889,0.37645211965039566,0.07922929046912826
all_events,121,moisture_4in,early_0_3h,25,297,0.9810706580938414,0.3804684663963322,0.21915953761266596,0.08841005123551164
all_events,121,moisture_4in,post3_late_storage,23,488,0.9743382619465227,0.30666782654771785,0.2113117536245211,-0.011892977077547546
all_events,121,moisture_4in,post3_mid_storage,20,510,0.9898614076736505,0.21602547568716754,0.15070472024883141,-0.009780180872405701
all_events,125,moisture_12in,early_0_3h,31,360,0.9372441887194628,1.2186917133838557,0.8561085281853045,0.19895319921854748
all_events,125,moisture_12in,post3_late_storage,28,566,0.771218309770301,1.9296734490124672,1.2247312734497666,-0.72411823003631
all_events,125,moisture_12in,post3_mid_storage,19,251,0.9945814998184824,0.31987186907475784,0.24677719725734154,-0.03350497616617322
all_events,125,moisture_16in,early_0_3h,36,423,0.8907861765618039,0.80012006892074,0.4938662027694889,0.11840961191636055
all_events,125,moisture_16in,post3_late_storage,29,449,0.9791784372916997,0.2939474397108098,0.21185595732511175,-0.023851572131804482
all_events,125,moisture_16in,post3_mid_storage,12,114,0.8600627579267772,0.5567204226524437,0.3223743438800658,0.01287513429466436
all_events,125,moisture_20in,early_0_3h,51,596,0.6882340162870603,1.0397293991944585,0.7711717240856979,0.03171826110002604
all_events,125,moisture_20in,post3_late_storage,36,366,0.9933331972836942,0.13844675082171462,0.11496805400152976,-0.0031960699302174015
all_events,125,moisture_4in,early_0_3h,137,1602,0.743854841465019,2.288339073019352,1.7804196821257465,-0.17268343667363356
all_events,125,moisture_4in,post3_late_storage,120,2192,0.9797156384331789,0.646459495551548,0.33572372777565357,0.0027617412079213467
all_events,125,moisture_4in,post3_mid_storage,111,2195,0.9335810454719102,1.1695665355612541,0.7800294896246169,-0.044880604549559604
all_events,125,moisture_8in,early_0_3h,46,523,0.9674493364269663,0.6510375889515687,0.45445482120049474,0.08238850763042664
all_events,125,moisture_8in,post3_late_storage,34,694,0.9768238469311591,0.5436365495986806,0.4085478947268961,-0.0034662402264874002
all_events,125,moisture_8in,post3_mid_storage,24,597,0.9475634393239297,0.7643980318479993,0.5777156784215512,-0.15209098519713085
all_events,130,moisture_4in,early_0_3h,101,1198,0.9319209170970723,1.1057380117266766,0.686842371048708,-0.07218374666114298
all_events,130,moisture_4in,post3_late_storage,90,1069,0.9556016935231807,0.9904635493843359,0.3199419643325152,0.15528141818140026
all_events,130,moisture_4in,post3_mid_storage,76,852,0.9910494755310442,0.45587222190015464,0.2826882725539044,0.03821427711152773
all_events,140,moisture_12in,early_0_3h,12,119,0.9787240676267023,0.29677953730015505,0.20624187000482885,0.02267248660517366
all_events,140,moisture_4in,early_0_3h,250,2843,0.7407216951962591,3.5548613495965897,2.3767782570737648,-2.0291509690583536
all_events,140,moisture_4in,post3_late_storage,191,2360,0.9542254067225794,1.6561994318176412,0.5799360425585542,0.21220633681094742
all_events,140,moisture_4in,post3_mid_storage,157,2131,0.9714364002576413,1.27907781867372,0.6798535441182975,-0.13184279479773814
all_events,140,moisture_8in,early_0_3h,44,508,0.982088748315501,1.0393288281612414,0.5427967376539836,0.16808767269471467
all_events,140,moisture_8in,post3_late_storage,29,410,0.9956567206234563,0.43016662019921614,0.28398585381546143,-0.015485413245956635
all_events,140,moisture_8in,post3_mid_storage,19,228,0.9832886742983664,0.815712833218819,0.5257646407777306,-0.2407789103649795
all_events,150,moisture_4in,early_0_3h,33,373,0.9926569102540406,0.3629792997259211,0.27464175027250004,0.0017213195577037536
all_events,150,moisture_4in,post3_late_storage,39,713,0.9718560579407334,0.8058210988236431,0.3845958211597122,0.07804200934744203
all_events,150,moisture_4in,post3_mid_storage,30,629,0.6128722287032207,1.8362652760776457,1.53184241518189,-0.45168853151867955
all_events,160,moisture_12in,early_0_3h,12,111,0.9882255856191073,0.6802424359176482,0.429715526646915,0.08109264147856175
all_events,160,moisture_4in,early_0_3h,208,2440,0.8718178930705356,2.2995683555276356,1.2834475928821636,0.70917605844909
all_events,160,moisture_4in,post3_late_storage,190,2291,0.9665402358880487,1.1291524971301024,0.4388543260644693,0.20462004734234168
all_events,160,moisture_4in,post3_mid_storage,162,2033,0.9354044782812666,1.4381495624491454,0.9432719776356616,-0.35148875583501976
all_events,160,moisture_8in,early_0_3h,34,380,0.9969781914784814,0.3752283166055929,0.2797879728581592,0.03284197472316852
all_events,160,moisture_8in,post3_late_storage,22,359,0.9979131536678779,0.24952220526121618,0.15923618577696125,-0.017190564728253595
all_events,160,moisture_8in,post3_mid_storage,15,175,0.9945642277615626,0.4662076854619908,0.25682923181209244,-0.02725760143655882
all_events,170,moisture_4in,early_0_3h,156,1827,0.870475777306413,0.7393308253526821,0.4832242604612709,0.065408296140079
all_events,170,moisture_4in,post3_late_storage,139,1887,0.4086257965685936,0.9816768253318823,0.7244587993511958,-0.43453184245595355
all_events,170,moisture_4in,post3_mid_storage,115,1787,0.8171111635695507,0.6511449659125498,0.46527678269490363,0.026745742691801147
all_events,190,moisture_4in,early_0_3h,10,118,0.9512185312936967,0.17827568589757983,0.13851993731527837,0.017543993686516657
all_events,230,moisture_4in,early_0_3h,34,393,0.9891915226318129,0.27472972793489764,0.15915293595665106,0.050225954005523044
all_events,230,moisture_4in,post3_late_storage,28,493,0.9302506818602,0.5384952051168854,0.21931617286325694,-0.0009697284779279983
all_events,230,moisture_4in,post3_mid_storage,24,452,0.9789735550056057,0.2933410102957302,0.14353753768501892,0.0262901366835852
all_events,240,moisture_4in,early_0_3h,16,163,0.7866392325595002,0.4122415631659985,0.25551555828467787,0.13106222361538916
all_events,240,moisture_4in,post3_late_storage,8,120,0.9865058525937163,0.057516643283970964,0.040013550735643125,-0.0017431133960264264
all_events,250,moisture_4in,early_0_3h,17,173,0.8653793027575549,0.598556126307787,0.41839714197510436,0.09537007663298742
all_events,250,moisture_4in,post3_late_storage,14,280,0.9408561836563258,0.31332990713682857,0.23888098105191824,-0.12086526600362775
all_events,250,moisture_4in,post3_mid_storage,9,131,0.9492802123761913,0.31532750247788766,0.2715364512759123,0.03976004055308038
all_events,260,moisture_12in,early_0_3h,12,129,0.9895062407140981,0.43428197337147123,0.3384827238024219,0.02906731270014491
all_events,260,moisture_12in,post3_late_storage,8,219,0.971655438855404,0.6460246357187737,0.40568917690745665,-0.20237215524728794
all_events,260,moisture_16in,early_0_3h,14,120,0.8730782168150919,1.0401517635409085,0.7339274403301217,0.04286283015625184
all_events,260,moisture_20in,early_0_3h,10,78,0.9349181043734094,0.9509136587119285,0.7442203162022459,-0.0032392169296102955
all_events,260,moisture_4in,early_0_3h,162,1872,0.3168445025576277,7.3144760057264016,5.823510960713438,-5.324104458532309
all_events,260,moisture_4in,post3_late_storage,141,2185,0.9250661732055944,2.4924008031079694,0.7170124479014368,0.405457641290343
