subset,layer,segment,events,sites,points,ccc,rmse_mm,mae_mm,bias_mm,dynamic_mae_mm_step
all_events,moisture_12in,early_0_3h,589,17,6048,0.9303540357124259,2.327015804395894,1.3237090214614005,0.33318063400714015,0.10491414700564614
all_events,moisture_12in,post3_late_storage,262,12,4917,0.9731821738802132,1.5699956137163795,0.6217609147366814,0.033010790798412404,0.03995769507106437
all_events,moisture_12in,post3_mid_storage,153,7,2424,0.8704613975964518,2.7293877809773677,1.7754825547216773,-0.9941713301457497,0.08226596471921131
all_events,moisture_16in,early_0_3h,575,10,4860,0.9594098373291423,1.606922238346064,0.8808204111874502,-0.13046076818771357,0.14361270576629995
all_events,moisture_16in,post3_late_storage,122,5,2483,0.9954106855563333,0.7027579048276479,0.42161938975993507,-0.048922254936780235,0.03271206297388782
all_events,moisture_16in,post3_mid_storage,74,4,1296,0.9914917570022418,0.9096830751270152,0.5476932670804626,-0.1274126416733441,0.06277188042820775
all_events,moisture_20in,early_0_3h,560,9,3955,0.5695372438145409,4.660878681927055,3.1568768494914936,-2.684993904539091,0.17698606766950378
all_events,moisture_20in,post3_late_storage,82,4,1666,0.9968225744716359,0.7003968375663753,0.4596785266409601,-0.18727825966687336,0.028220516261667723
all_events,moisture_20in,post3_mid_storage,21,2,536,0.9607304206695424,1.608025640045336,1.241808434455679,-0.8443635902189778,0.07308453978854139
all_events,moisture_4in,early_0_3h,4221,38,46257,0.870628015766858,3.2211383624057794,1.9312279746779284,-0.6082988972243825,0.09502121574239814
all_events,moisture_4in,post3_late_storage,3060,34,47848,0.9667255921071959,1.7469989343462935,0.7666762533197585,-0.2525891178921642,0.02882370554904662
all_events,moisture_4in,post3_mid_storage,2503,32,41753,0.9793929395016652,1.3162350897380202,0.671406597456692,-0.07986974168281061,0.04434496161415471
all_events,moisture_8in,early_0_3h,973,22,10764,0.9569213076999626,2.0242534043631677,0.9576860458672378,0.012061793464911184,0.0954303798995219
all_events,moisture_8in,post3_late_storage,618,18,12883,0.997226644174687,0.5083117735444771,0.29413096777147935,-0.027673725713893413,0.024473590400930587
all_events,moisture_8in,post3_mid_storage,477,18,9146,0.9935474723472713,0.7616017443002342,0.5120670993905978,-0.062131716814579886,0.0499698963804172
clean_48h,moisture_12in,early_0_3h,296,7,2967,0.918289598693418,1.9170863046064932,1.1623746581339174,0.08849845435780829,0.0906957624913799
clean_48h,moisture_12in,post3_late_storage,113,4,1612,0.9633161772409302,1.625885962951186,0.8729672178843781,-0.42967228325015466,0.04715114082240868
clean_48h,moisture_12in,post3_mid_storage,76,3,1030,0.8752477299535062,2.086607353051992,1.2726590870980568,-0.263920140697685,0.07379804946582244
clean_48h,moisture_16in,early_0_3h,317,2,2552,0.6416498512449363,2.7159243980928705,2.0150043308684906,-0.2477289237958132,0.133895757660193
clean_48h,moisture_16in,post3_late_storage,63,2,708,0.9885521581722473,0.7483607017177869,0.34889385300734427,0.06121348663572244,0.04779680794862367
